,0,1,2,target
346,205,21,208,66.68449197860963
347,205,5,206,65.72192513368984
348,202,21,201,66.14973262032086
349,197,14,197,65.29411764705883
350,201,24,201,66.2566844919786
353,218,17,218,67.70053475935829
354,211,3,211,66.20320855614973
355,206,7,205,65.8288770053476
356,205,13,203,65.98930481283422
357,206,13,204,66.09625668449198
361,199,20,200,65.88235294117646
362,192,5,193,64.33155080213903
363,193,15,194,64.97326203208556
364,198,2,199,64.81283422459893
365,203,2,206,65.45454545454545
366,207,3,210,65.93582887700535
367,205,5,210,65.93582887700535
371,205,8,208,65.98930481283422
372,207,5,206,65.8288770053476
373,208,10,206,66.14973262032086
374,210,28,209,67.37967914438502
375,212,15,209,66.79144385026738
376,217,4,213,66.68449197860963
377,218,7,215,67.00534759358288
378,220,9,218,67.37967914438502
379,225,4,224,67.70053475935829
380,229,23,229,69.19786096256685
381,231,3,231,68.34224598930481
382,229,0,231,68.07486631016043
383,226,19,226,68.66310160427807
384,223,9,221,67.70053475935829
385,226,29,222,68.98395721925134
386,229,29,225,69.3048128342246
390,226,3,227,67.86096256684492
391,222,14,226,68.18181818181819
392,221,2,228,67.59358288770053
393,212,17,222,67.59358288770053
394,210,10,223,67.16577540106952
395,210,28,224,68.18181818181819
396,204,23,222,67.48663101604278
400,204,8,204,65.72192513368984
401,207,16,207,66.47058823529412
402,208,1,208,65.77540106951872
403,207,25,207,66.95187165775401
404,207,0,206,65.56149732620321
405,207,3,206,65.72192513368984
406,208,18,207,66.63101604278074
407,208,12,206,66.2566844919786
408,211,23,208,67.11229946524064
409,210,25,208,67.16577540106952
410,208,5,205,65.8288770053476
411,206,11,204,65.98930481283422
412,204,7,200,65.45454545454545
413,204,20,200,66.14973262032086
414,204,20,200,66.14973262032086
415,199,14,198,65.45454545454545
418,184,7,188,63.74331550802139
419,186,29,190,65.1336898395722
420,194,9,199,64.97326203208556
424,201,5,207,65.56149732620321
425,199,15,204,65.8288770053476
426,202,10,205,65.77540106951872
427,207,11,208,66.2566844919786
428,204,26,205,66.7379679144385
429,199,0,200,64.81283422459893
430,200,18,200,65.8288770053476
431,207,8,206,65.98930481283422
433,210,18,211,66.95187165775401
434,202,13,203,65.8288770053476
435,202,4,201,65.24064171122994
436,205,13,203,65.98930481283422
441,200,16,201,65.77540106951872
442,189,17,190,64.6524064171123
443,188,1,189,63.68983957219251
444,195,14,198,65.24064171122994
445,204,10,205,65.88235294117646
446,207,22,210,66.95187165775401
447,207,6,210,66.09625668449198
450,209,10,212,66.524064171123
451,207,8,210,66.20320855614973
452,208,11,210,66.41711229946524
453,208,5,210,66.09625668449198
454,209,1,210,65.93582887700535
455,212,17,210,66.95187165775401
456,216,25,214,67.80748663101605
457,218,12,216,67.32620320855615
458,222,20,219,68.1283422459893
459,226,18,225,68.55614973262033
461,229,23,231,69.3048128342246
462,226,24,227,68.98395721925134
463,221,20,221,68.18181818181819
464,218,24,218,68.07486631016043
465,220,26,221,68.44919786096257
466,225,6,225,67.86096256684492
467,228,2,228,67.96791443850267
469,229,13,229,68.66310160427807
470,226,19,226,68.66310160427807
471,224,9,227,68.07486631016043
472,219,19,225,68.23529411764706
473,210,16,219,67.27272727272728
474,208,1,220,66.41711229946524
475,208,15,222,67.27272727272728
476,202,26,222,67.54010695187166
481,200,27,201,66.36363636363636
482,195,27,196,65.8288770053476
483,196,9,197,64.97326203208556
484,196,8,196,64.8663101604278
485,199,24,198,65.98930481283422
486,203,11,202,65.72192513368984
487,207,8,206,65.98930481283422
490,206,29,202,66.84491978609626
491,202,1,196,64.81283422459893
492,200,0,194,64.54545454545455
493,196,19,190,65.1336898395722
494,191,27,185,65.02673796791444
495,183,1,177,62.780748663101605
496,178,15,174,63.101604278074866
497,178,5,175,62.62032085561497
498,178,29,178,64.06417112299465
499,175,28,174,63.63636363636364
500,180,28,181,64.27807486631016
501,192,4,193,64.27807486631016
503,201,16,205,66.0427807486631
504,199,13,203,65.66844919786097
505,196,17,199,65.50802139037432
506,198,28,200,66.2566844919786
507,209,10,211,66.47058823529412
510,210,3,211,66.14973262032086
511,209,2,210,65.98930481283422
512,207,27,210,67.2192513368984
513,202,0,205,65.24064171122994
514,197,15,198,65.40106951871658
515,200,12,201,65.56149732620321
516,209,17,209,66.7379679144385
519,208,8,208,66.14973262032086
521,206,15,208,66.41711229946524
522,200,5,202,65.24064171122994
523,199,12,201,65.50802139037432
524,203,13,207,66.09625668449198
525,206,11,211,66.36363636363636
526,208,24,213,67.27272727272728
527,210,19,215,67.2192513368984
528,221,23,219,68.23529411764706
529,222,27,219,68.50267379679144
530,219,28,219,68.39572192513369
531,216,25,219,68.07486631016043
532,216,21,220,67.9144385026738
533,213,3,219,66.7379679144385
534,214,27,218,68.02139037433155
535,214,27,217,67.96791443850267
536,215,22,215,67.6470588235294
537,221,6,220,67.37967914438502
540,224,18,223,68.34224598930481
541,218,14,221,67.70053475935829
542,215,14,219,67.43315508021391
543,215,24,219,67.96791443850267
544,218,9,225,67.6470588235294
545,220,0,227,67.37967914438502
546,223,22,229,68.82352941176471
549,231,0,231,68.18181818181819
550,230,16,229,68.87700534759358
551,228,24,229,69.19786096256685
552,226,7,229,68.18181818181819
553,219,9,225,67.70053475935829
554,218,17,228,68.23529411764706
555,213,21,227,68.1283422459893
556,204,20,222,67.32620320855615
561,198,12,200,65.40106951871658
562,196,24,197,65.77540106951872
563,196,6,197,64.81283422459893
564,198,0,199,64.70588235294117
565,202,22,201,66.20320855614973
566,206,12,206,66.14973262032086
567,210,6,210,66.2566844919786
